County,Density,State,,,,
Autauga County,91.8,Alabama,,,,
Baldwin County,114.6,Alabama,,,,
Barbour County,31,Alabama,,,,
Bibb County,36.8,Alabama,,,,
Blount County,88.9,Alabama,,,,
Bullock County,17.5,Alabama,,,,
Butler County,27,Alabama,,,,
Calhoun County,195.7,Alabama,,,,
Chambers County,57.4,Alabama,,,,
Cherokee County,46.9,Alabama,,,,
Chilton County,63,Alabama,,,,
Choctaw County,15.2,Alabama,,,,
Clarke County,20.9,Alabama,,,,
Clay County,23.1,Alabama,,,,
Cleburne County,26.7,Alabama,,,,
Coffee County,73.6,Alabama,,,,
Colbert County,91.8,Alabama,,,,
Conecuh County,15.6,Alabama,,,,
Coosa County,17.7,Alabama,,,,
Covington County,36.6,Alabama,,,,
Crenshaw County,22.8,Alabama,,,,
Cullman County,109.4,Alabama,,,,
Dale County,89.6,Alabama,,,,
Dallas County,44.8,Alabama,,,,
DeKalb County,91.5,Alabama,,,,
Elmore County,128.2,Alabama,,,,
Escambia County,40.5,Alabama,,,,
Etowah County,195.2,Alabama,,,,
Fayette County,27.5,Alabama,,,,
Franklin County,50,Alabama,,,,
Geneva County,46.6,Alabama,,,,
Greene County,14,Alabama,,,,
Hale County,24.5,Alabama,,,,
Henry County,30.8,Alabama,,,,
Houston County,175.1,Alabama,,,,
Jackson County,49.4,Alabama,,,,
Jefferson County,592.5,Alabama,,,,
Lamar County,24.1,Alabama,,,,
Lauderdale County,138.8,Alabama,,,,
Lawrence County,49.7,Alabama,,,,
Lee County,230.8,Alabama,,,,
Limestone County,147.8,Alabama,,,,
Lowndes County,15.8,Alabama,,,,
Macon County,35.2,Alabama,,,,
Madison County,417.7,Alabama,,,,
Marengo County,21.5,Alabama,,,,
Marion County,41.5,Alabama,,,,
Marshall County,164.4,Alabama,,,,
Mobile County,335.9,Alabama,,,,
Monroe County,22.5,Alabama,,,,
Montgomery County,292.5,Alabama,,,,
Morgan County,206.3,Alabama,,,,
Perry County,14.7,Alabama,,,,
Pickens County,22.4,Alabama,,,,
Pike County,48.9,Alabama,,,,
Randolph County,39.5,Alabama,,,,
Russell County,82.6,Alabama,,,,
St. Clair County,132.3,Alabama,,,,
Shelby County,248.5,Alabama,,,,
Sumter County,15.2,Alabama,,,,
Talladega County,111.7,Alabama,,,,
Tallapoosa County,58.1,Alabama,,,,
Tuscaloosa County,147.3,Alabama,,,,
Walker County,84.7,Alabama,,,,
Washington County,16.3,Alabama,,,,
Wilcox County,13.1,Alabama,,,,
Winston County,39.9,Alabama,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Apache County,6.4,Arizona,0400000US04,4,0500000US04001,4001
Cochise County,21.3,Arizona,0400000US04,4,0500000US04003,4003
Coconino County,7.2,Arizona,0400000US04,4,0500000US04005,4005
Gila County,11.3,Arizona,0400000US04,4,0500000US04007,4007
Graham County,8.1,Arizona,0400000US04,4,0500000US04009,4009
Greenlee County,4.6,Arizona,0400000US04,4,0500000US04011,4011
La Paz County,4.6,Arizona,0400000US04,4,0500000US04012,4012
Maricopa County,414.9,Arizona,0400000US04,4,0500000US04013,4013
Mohave County,15,Arizona,0400000US04,4,0500000US04015,4015
Navajo County,10.8,Arizona,0400000US04,4,0500000US04017,4017
Pima County,106.7,Arizona,0400000US04,4,0500000US04019,4019
Pinal County,70,Arizona,0400000US04,4,0500000US04021,4021
Santa Cruz County,38.3,Arizona,0400000US04,4,0500000US04023,4023
Yavapai County,26,Arizona,0400000US04,4,0500000US04025,4025
Yuma County,35.5,Arizona,0400000US04,4,0500000US04027,4027
Arkansas County,19.2,Arkansas,0400000US05,5,0500000US05001,5001
Ashley County,23.6,Arkansas,0400000US05,5,0500000US05003,5003
Baxter County,74.9,Arkansas,0400000US05,5,0500000US05005,5005
Benton County,261.2,Arkansas,0400000US05,5,0500000US05007,5007
Boone County,62.5,Arkansas,0400000US05,5,0500000US05009,5009
Bradley County,17.7,Arkansas,0400000US05,5,0500000US05011,5011
Calhoun County,8.5,Arkansas,0400000US05,5,0500000US05013,5013
Carroll County,43.6,Arkansas,0400000US05,5,0500000US05015,5015
Chicot County,18.3,Arkansas,0400000US05,5,0500000US05017,5017
Clark County,26.6,Arkansas,0400000US05,5,0500000US05019,5019
Clay County,25.2,Arkansas,0400000US05,5,0500000US05021,5021
Cleburne County,46.9,Arkansas,0400000US05,5,0500000US05023,5023
Cleveland County,14.5,Arkansas,0400000US05,5,0500000US05025,5025
Columbia County,32.1,Arkansas,0400000US05,5,0500000US05027,5027
Conway County,38.5,Arkansas,0400000US05,5,0500000US05029,5029
Craighead County,136.4,Arkansas,0400000US05,5,0500000US05031,5031
Crawford County,104.4,Arkansas,0400000US05,5,0500000US05033,5033
Crittenden County,83.5,Arkansas,0400000US05,5,0500000US05035,5035
Cross County,29,Arkansas,0400000US05,5,0500000US05037,5037
Dallas County,12.2,Arkansas,0400000US05,5,0500000US05039,5039
Desha County,16.9,Arkansas,0400000US05,5,0500000US05041,5041
Drew County,22.3,Arkansas,0400000US05,5,0500000US05043,5043
Faulkner County,174.8,Arkansas,0400000US05,5,0500000US05045,5045
Franklin County,29.8,Arkansas,0400000US05,5,0500000US05047,5047
Fulton County,19.8,Arkansas,0400000US05,5,0500000US05049,5049
Garland County,141.7,Arkansas,0400000US05,5,0500000US05051,5051
Grant County,28.3,Arkansas,0400000US05,5,0500000US05053,5053
Greene County,72.9,Arkansas,0400000US05,5,0500000US05055,5055
Hempstead County,31.1,Arkansas,0400000US05,5,0500000US05057,5057
Hot Spring County,53.5,Arkansas,0400000US05,5,0500000US05059,5059
Howard County,23.4,Arkansas,0400000US05,5,0500000US05061,5061
Independence County,48,Arkansas,0400000US05,5,0500000US05063,5063
Izard County,23.6,Arkansas,0400000US05,5,0500000US05065,5065
Jackson County,28.4,Arkansas,0400000US05,5,0500000US05067,5067
Jefferson County,88.9,Arkansas,0400000US05,5,0500000US05069,5069
Johnson County,38.7,Arkansas,0400000US05,5,0500000US05071,5071
Lafayette County,14.5,Arkansas,0400000US05,5,0500000US05073,5073
Lawrence County,29.6,Arkansas,0400000US05,5,0500000US05075,5075
Lee County,17.3,Arkansas,0400000US05,5,0500000US05077,5077
Lincoln County,25.2,Arkansas,0400000US05,5,0500000US05079,5079
Little River County,24.7,Arkansas,0400000US05,5,0500000US05081,5081
Logan County,31.6,Arkansas,0400000US05,5,0500000US05083,5083
Lonoke County,88.7,Arkansas,0400000US05,5,0500000US05085,5085
Madison County,18.8,Arkansas,0400000US05,5,0500000US05087,5087
Marion County,27.9,Arkansas,0400000US05,5,0500000US05089,5089
Miller County,69.5,Arkansas,0400000US05,5,0500000US05091,5091
Mississippi County,51.6,Arkansas,0400000US05,5,0500000US05093,5093
Monroe County,13.4,Arkansas,0400000US05,5,0500000US05095,5095
Montgomery County,12.2,Arkansas,0400000US05,5,0500000US05097,5097
Nevada County,14.6,Arkansas,0400000US05,5,0500000US05099,5099
Newton County,10.1,Arkansas,0400000US05,5,0500000US05101,5101
Ouachita County,35.6,Arkansas,0400000US05,5,0500000US05103,5103
Perry County,18.9,Arkansas,0400000US05,5,0500000US05105,5105
Phillips County,31.3,Arkansas,0400000US05,5,0500000US05107,5107
Pike County,18.8,Arkansas,0400000US05,5,0500000US05109,5109
Poinsett County,32.4,Arkansas,0400000US05,5,0500000US05111,5111
Polk County,24.1,Arkansas,0400000US05,5,0500000US05113,5113
Pope County,76,Arkansas,0400000US05,5,0500000US05115,5115
Prairie County,13.4,Arkansas,0400000US05,5,0500000US05117,5117
Pulaski County,503.8,Arkansas,0400000US05,5,0500000US05119,5119
Randolph County,27.6,Arkansas,0400000US05,5,0500000US05121,5121
St. Francis County,44.5,Arkansas,0400000US05,5,0500000US05123,5123
Saline County,148,Arkansas,0400000US05,5,0500000US05125,5125
Scott County,12.6,Arkansas,0400000US05,5,0500000US05127,5127
Searcy County,12.3,Arkansas,0400000US05,5,0500000US05129,5129
Sebastian County,236.4,Arkansas,0400000US05,5,0500000US05131,5131
Sevier County,30.2,Arkansas,0400000US05,5,0500000US05133,5133
