State,County,Votes Biden,Votes Trump
Alabama,Autauga County,7450,19764
Alabama,Baldwin County,24344,83055
Alabama,Barbour County,4772,5605
Alabama,Bibb County,1982,7508
Alabama,Blount County,2627,24595
Alabama,Bullock County,3439,1143
Alabama,Butler County,3953,5448
Alabama,Calhoun County,15118,34964
Alabama,Chambers County,6356,8748
Alabama,Cherokee County,1619,10562
Alabama,Chilton County,3056,16052
Alabama,Choctaw County,3126,4294
Alabama,Clarke County,5730,7310
Alabama,Clay County,1262,5589
Alabama,Cleburne County,672,6472
Alabama,Coffee County,5050,16832
Alabama,Colbert County,7057,17311
Alabama,Conecuh County,2951,3435
Alabama,Coosa County,1794,3626
Alabama,Covington County,2717,14579
Alabama,Crenshaw County,1700,4864
Alabama,Cullman County,4454,36804
Alabama,Dale County,5154,14281
Alabama,Dallas County,12228,5523
Alabama,DeKalb County,4271,24744
Alabama,Elmore County,10304,30089
Alabama,Escambia County,4894,10844
Alabama,Etowah County,11487,35343
Alabama,Fayette County,1390,7295
Alabama,Franklin County,2085,10364
Alabama,Geneva County,1592,10844
Alabama,Greene County,4329,850
Alabama,Hale County,4687,3190
Alabama,Henry County,2589,6593
Alabama,Houston County,12738,32384
Alabama,Jackson County,3709,19644
Alabama,Jefferson County,180936,138443
Alabama,Lamar County,978,6168
Alabama,Lauderdale County,11872,31578
Alabama,Lawrence County,3544,12266
Alabama,Lee County,27600,42019
Alabama,Limestone County,13510,34337
Alabama,Lowndes County,4968,1835
Alabama,Macon County,7084,1539
Alabama,Madison County,86885,102395
Alabama,Marengo County,5476,5337
Alabama,Marion County,1457,12190
Alabama,Marshall County,5880,33094
Alabama,Mobile County,78754,100605
Alabama,Monroe County,4425,6129
Alabama,Montgomery County,64065,33122
Alabama,Morgan County,13159,39504
Alabama,Perry County,3849,1336
Alabama,Pickens County,4017,5590
Alabama,Pike County,5613,8020
Alabama,Randolph County,2203,8548
Alabama,Russell County,11078,9796
Alabama,Shelby County,33036,79428
Alabama,St. Clair County,7698,36119
Alabama,Sumter County,4639,1598
Alabama,Talladega County,13092,22210
Alabama,Tallapoosa County,5815,14905
Alabama,Tuscaloosa County,28560,47367
Alabama,Walker County,4826,25947
